time,system_size,queue_length
205.33250706864618,2,1
205.33250706864618,2,0
205.37131668455402,1,0
205.404876082523,0,0
205.72556212755157,1,0
205.86833889708385,2,0
206.34636052680258,1,0
207.46461641817703,2,0
207.61221885091433,1,0
207.8030066905166,2,0
207.8599665555702,3,1
208.73420029541543,4,2
208.76576834343967,3,2
208.76576834343967,3,1
209.37518601048583,4,2
209.87867155011037,5,3
209.88253939544873,4,3
209.88253939544873,4,2
212.41194117807308,5,3
214.330313063343,6,4
214.36651180913023,7,5
214.40484478129326,6,5
214.40484478129326,6,4
215.13130274532796,5,4
215.13130274532796,5,3
215.39153767726935,4,3
215.39153767726935,4,2
216.26471830910657,5,3
217.46086257959476,6,4
217.72347533649645,5,4
217.72347533649645,5,3
218.13027374221983,4,3
218.13027374221983,4,2
218.1682671997105,3,2
218.1682671997105,3,1
219.361144799352,2,1
219.361144799352,2,0
220.86278722250978,1,0
221.07050248437747,0,0
222.0523710641546,1,0
223.204542253605,2,0
223.97346878034713,1,0
224.96596330732214,2,0
225.0392567929498,1,0
227.37086302953816,0,0
228.21302839544734,1,0
228.29651260495345,0,0
231.45913540470283,1,0
232.25660365117508,2,0
232.92790482875043,1,0
233.2268194734963,0,0
233.915180158089,1,0
235.0143613605953,0,0
235.09024013103252,1,0
235.61386011042623,2,0
235.81344313880237,1,0
235.96354257965228,2,0
236.84576458540465,1,0
237.41352822317404,0,0
239.48445166417207,1,0
239.64620925404643,0,0
240.1537954218728,1,0
240.16340689590055,2,0
240.62205041893404,1,0
241.07405747936906,0,0
241.7364924789003,1,0
244.65915731841096,2,0
246.56579019870514,1,0
247.0762648911535,2,0
247.1921417375466,3,1
247.2160470912002,2,1
247.2160470912002,2,0
247.95990050967396,1,0
248.51240448319376,2,0
248.56847552801682,3,1
250.23312701697682,2,1
250.23312701697682,2,0
250.3527148764937,1,0
251.34617729406506,0,0
251.77677047479568,1,0
252.0314116930936,2,0
252.40027506827084,1,0
254.44619405400738,2,0
254.575116942768,3,1
254.60336481448576,2,1
254.60336481448576,2,0
255.061688397581,1,0
255.7572957556469,0,0
257.49901511083897,1,0
258.4915937377179,2,0
258.8941482216904,1,0
259.4692414799265,2,0
259.7022395371021,1,0
259.7897233523643,0,0
260.6486327120341,1,0
261.29923039147525,0,0
261.576039349247,1,0
262.6997145312929,0,0
267.88554679059706,1,0
268.10625101494225,2,0
268.70180471073024,1,0
271.039397187355,2,0
271.22905057726086,3,1
271.3994183804017,2,1
271.3994183804017,2,0
271.4243074824959,1,0
271.4881221340981,2,0
271.90472571698365,3,1
271.9530599632192,4,2
272.53590455172895,3,2
272.53590455172895,3,1
273.0456821680497,2,1
273.0456821680497,2,0
273.5238038760767,3,1
274.1805569333737,2,1
274.1805569333737,2,0
274.23148724231595,1,0
274.61721315835376,0,0
275.72550358946444,1,0
276.186700500692,0,0
279.9919311078227,1,0
281.28006804499256,2,0
281.6805578584935,3,1
282.5322338399633,2,1
282.5322338399633,2,0
283.35499706946325,3,1
283.72357967617666,4,2
284.2202999341994,3,2
284.2202999341994,3,1
285.56631524792806,2,1
285.56631524792806,2,0
286.46862658383156,1,0
286.91574349504685,0,0
287.51113348417147,1,0
287.51565674052745,2,0
287.8552989910246,1,0
288.02019903222345,2,0
288.28521126445577,1,0
288.3608778579224,0,0
289.53499564937397,1,0
290.5094889290965,2,0
290.60058560904776,3,1
292.0262056488471,2,1
292.0262056488471,2,0
292.3670088256251,1,0
292.99276357510035,2,0
293.8862118891086,1,0
294.1271959406368,2,0
294.6437488414499,3,1
295.4243901297876,2,1
295.4243901297876,2,0
295.6679603894569,3,1
295.72924094328187,4,2
296.76265321771024,3,2
296.76265321771024,3,1
297.05346041846735,4,2
297.0647017435473,5,3
297.17323875414104,4,3
297.17323875414104,4,2
298.47515505355784,3,2
298.47515505355784,3,1
298.5398764469973,2,1
298.5398764469973,2,0
299.2901198576485,3,1
299.6821820355567,2,1
299.6821820355567,2,0
299.6834613100377,1,0
301.7342173927317,2,0
301.79908013689493,1,0
