N,S,repairers,seed,crash_time,crashed,repairer_utilization,average_repair_queue,average_good_machines,analytic_crash_time
10,3,2,2034,38894.50898497069,true,0.04910932691846556,0.00016066127211299014,12.901620684890982,46539.999999994056
10,3,2,2035,38295.83496897333,true,0.04942937766940864,0.00019494226061673222,12.900946302400524,46539.999999994056
10,3,2,2036,50000.0,false,0.04997547936353699,0.00024347805360310418,12.899805563219347,46539.999999994056
10,3,2,2037,7208.6682302500185,true,0.055202977026681276,0.00023623465139657455,12.889357811295241,46539.999999994056
10,3,2,2038,15461.00328017219,true,0.04866837917644171,0.0003047915140110106,12.902358450133104,46539.999999994056
10,3,2,2039,974.0261893487478,true,0.048803384286906254,5.5989389053590385e-5,12.902337242037135,46539.999999994056
10,3,2,2040,34189.56959038786,true,0.05107306251884723,0.00024527049231695144,12.89760860446996,46539.999999994056
10,3,2,2041,50000.0,false,0.05181170276679827,0.0003420203101707102,12.896034574156165,46539.999999994056
10,3,2,2042,1018.0363034374577,true,0.04509165905981855,0.004534921500582521,12.905281760379788,46539.999999994056
10,3,2,2043,47982.60757191538,true,0.050146873159791105,0.0002389913099884474,12.899467262370472,46539.999999994056
10,3,2,2044,5133.623715695677,true,0.04912690561536668,9.402289545638897e-5,12.901652165873822,46539.999999994056
10,3,2,2045,41773.3589458145,true,0.05105389813902837,0.0002611900833887394,12.897631013638579,46539.999999994056
10,3,2,2046,5614.460181597792,true,0.04430975432133875,4.8698224689106154e-5,12.911331793132636,46539.999999994056
10,3,2,2047,23508.47419521303,true,0.048264246787109825,0.00010764087979357727,12.903363865545986,46539.999999994056
10,3,2,2048,32494.366162828996,true,0.050959400781498417,0.00021981335246384773,12.89786138508452,46539.999999994056
10,3,2,2049,10177.745166808476,true,0.04996488588833643,0.0003485435146806908,12.899721684708634,46539.999999994056
10,3,2,2050,718.7445969766956,true,0.04378000813343805,0.00028642136456276206,12.912153562368564,46539.999999994056
10,3,2,2051,15907.790903154568,true,0.04804406789051235,0.00036492351619962706,12.903546940702755,46539.999999994056
10,3,2,2052,3755.96568495943,true,0.04973180542530914,0.00040577553343801374,12.900130613615932,46539.999999994056
10,3,2,2053,49450.68970488933,true,0.05069969603085791,0.00022210786647930143,12.898378500071786,46539.999999994056
10,3,2,2054,49172.002012782876,true,0.050492894401283975,0.000321849552730145,12.898692361644644,46539.999999994056
10,3,2,2055,396.54254703504114,true,0.05450771141272849,0.0024553316239623894,12.888529245550583,46539.999999994056
10,3,2,2056,2980.6491205523266,true,0.05201307354000099,0.0009221412905913469,12.895051711629414,46539.999999994056
10,3,2,2057,46363.597708661546,true,0.04982212992248216,0.00023538532301071354,12.90012035483203,46539.999999994056
10,3,2,2058,50000.0,false,0.048315348428140385,0.0002980498402946455,12.903071253303464,46539.999999994056
10,3,2,2059,13841.846721201386,true,0.04907564538659411,0.0001130464514282578,12.901735662775355,46539.999999994056
10,3,3,2030,50000.0,false,0.031853549108059195,0.0,12.904439352675805,68639.99999994032
10,3,3,2031,16693.954725088908,true,0.03467937335116788,0.0,12.895961879946515,68639.99999994032
10,3,3,2032,1504.1239462220362,true,0.03319043164632423,0.0,12.900428705061024,68639.99999994032
10,3,3,2033,16127.830280571277,true,0.03314804447399708,0.0,12.900555866577992,68639.99999994032
10,3,3,2034,32511.190146200723,true,0.03283399239850995,0.0,12.901498022804493,68639.99999994032
10,3,3,2035,50000.0,false,0.03288171502892909,0.0,12.901354854913194,68639.99999994032
10,3,3,2036,46980.029962942914,true,0.03329750193327623,0.0,12.900107494200192,68639.99999994032
10,3,3,2037,50000.0,false,0.03519504517999491,0.0,12.894414864459971,68639.99999994032
10,3,3,2038,49166.183699234534,true,0.0334925976083221,0.0,12.899522207174982,68639.99999994032
10,3,3,2039,50000.0,false,0.032631474772082926,0.0,12.902105575683684,68639.99999994032
10,3,3,2040,10074.452857265826,true,0.03594234174149021,0.0,12.892172974775528,68639.99999994032
10,3,3,2041,45017.62425741971,true,0.034269281166804055,0.0,12.897192156499548,68639.99999994032
10,3,3,2042,50000.0,false,0.03389143977282502,0.0,12.898325680681598,68639.99999994032
10,3,3,2043,23293.87659835701,true,0.03334629502112349,0.0,12.899961114936657,68639.99999994032
10,3,3,2044,50000.0,false,0.032498029257710066,0.0,12.902505912226916,68639.99999994032
10,3,3,2045,50000.0,false,0.03415679743345347,0.0,12.897529607699676,68639.99999994032
