customer,server,arrival_time,service_start,departure_time,service_time,queue_wait,system_time
7422,1,8188.452377048987,8218.034305404475,8219.461960874361,1.4276554698862913,29.581928355488344,31.009583825374648
7423,2,8189.117609861718,8218.489852374762,8219.211596843854,0.7217444690927016,29.372242513043602,30.093986982135903
7424,2,8189.318373845632,8219.211596843854,8220.580153791396,1.3685569475420647,29.893222998221972,31.26177994576392
7425,1,8190.4423009075645,8219.461960874361,8221.63042988468,2.1684690103188844,29.019659966797008,31.18812897711632
7426,2,8192.58204870071,8220.580153791396,8221.011216704965,0.43106291356958326,27.998105090686295,28.42916800425519
7427,2,8193.246761748953,8221.011216704965,8226.536758730474,5.525542025509572,27.764454956011832,33.289996981520744
7428,1,8194.464053541431,8221.63042988468,8221.977352216569,0.3469223318882668,27.166376343249794,27.513298675137776
7429,1,8195.477530059856,8221.977352216569,8224.724888086614,2.7475358700457204,26.49982215671298,29.247358026757865
7430,1,8199.559765217906,8224.724888086614,8225.37097561311,0.6460875264973439,25.16512286870784,25.811210395204398
7431,1,8199.655570834459,8225.37097561311,8231.936987263141,6.566011650031605,25.715404778651646,32.28141642868286
7432,2,8200.72964980841,8226.536758730474,8228.15851707706,1.6217583465860397,25.80710892206298,27.4288672686489
7433,2,8201.385827964232,8228.15851707706,8228.689940145538,0.5314230684783784,26.77268911282772,27.304112181305754
7434,2,8202.078564722076,8228.689940145538,8234.3707919508,5.680851805261493,26.61137542346114,32.29222722872328
7435,1,8206.649601902354,8231.936987263141,8237.860385736974,5.923398473833875,25.287385360787084,31.210783834620088
7436,2,8208.09794862195,8234.3707919508,8236.138557366172,1.7677654153726508,26.272843328850286,28.04060874422248
7437,2,8208.817153340566,8236.138557366172,8237.223540258025,1.0849828918530449,27.32140402560617,28.406386917458804
7438,2,8210.146271500635,8237.223540258025,8237.256415573802,0.03287531577783467,27.077268757389902,27.11014407316725
7439,2,8210.803522617516,8237.256415573802,8237.713609656706,0.45719408290467184,26.452892956285723,26.91008703919033
7440,2,8212.175505811914,8237.713609656706,8237.772978442206,0.05936878549899791,25.538103844792204,25.59747263029203
