t,S,I,R
20.969262064365786,345,87,568
20.987209401523586,345,86,569
21.022064587026538,345,85,570
21.03341894866967,345,84,571
21.05699927621976,344,85,571
21.060079366212307,343,86,571
21.06791051648614,343,85,572
21.101645137237554,342,86,572
21.1082053314221,341,87,572
21.116581776763425,341,86,573
21.140372628786736,341,85,574
21.15673630988033,341,84,575
21.15739371920874,341,83,576
21.181640956092405,341,82,577
21.235670628587098,341,81,578
21.31176958932854,341,80,579
21.331355732784814,341,79,580
21.349432641927333,340,80,580
21.463761773251264,339,81,580
21.470438272250824,339,80,581
21.47786370194797,339,79,582
21.484733768099666,338,80,582
21.497271586787484,338,79,583
21.53384017203963,337,80,583
21.57406648998743,337,79,584
21.61455598242721,337,78,585
21.62614223565999,337,77,586
21.708460200855626,336,78,586
21.726219390908916,335,79,586
21.756410530116895,335,78,587
21.787033664990332,334,79,587
21.828886364383088,334,78,588
21.8522597992574,333,79,588
21.874133231414586,333,78,589
21.884080594318107,333,77,590
21.885406233659563,332,78,590
21.92341342075566,331,79,590
21.942010639126014,330,80,590
21.944597583477872,330,79,591
21.94813846483359,330,78,592
21.974691949743832,329,79,592
22.03124178455789,328,80,592
22.066073907213568,328,79,593
22.114564001190555,327,80,593
22.11698203177168,326,81,593
22.119933643242028,326,80,594
22.142536787393354,325,81,594
22.14943229748324,325,80,595
22.168626374986744,325,79,596
22.193504424952277,324,80,596
22.20472176246713,324,79,597
22.252834460153927,324,78,598
22.27997329565649,324,77,599
22.310446632162687,323,78,599
22.372549621687867,322,79,599
22.373539759533628,322,78,600
22.380470300585394,322,77,601
22.389758366774604,322,76,602
22.427120103952493,321,77,602
22.493736951572085,320,78,602
22.495371076610667,319,79,602
22.547176129051525,319,78,603
22.559377544895046,318,79,603
22.576635471513434,318,78,604
22.58740033458401,317,79,604
22.59073207280121,317,78,605
22.625340528313302,317,77,606
22.646760434897125,317,76,607
22.812527966827698,316,77,607
22.81440211648802,316,76,608
22.84834944975796,315,77,608
22.903585778831722,315,76,609
22.90506031869291,315,75,610
22.91930799417132,315,74,611
22.94602837973263,315,73,612
22.956181730970947,315,72,613
22.962717074792938,315,71,614
22.97588768221878,314,72,614
22.99548316700179,314,71,615
23.045378301406846,313,72,615
23.07771640027412,313,71,616
23.100392409588977,313,70,617
23.179720207320553,313,69,618
23.18971315941164,313,68,619
23.192432147243384,312,69,619
23.20295740183363,312,68,620
23.254919383366317,311,69,620
23.295710121493798,310,70,620
23.37131932297897,309,71,620
23.43371432704331,308,72,620
23.488707974305896,308,71,621
23.498085078447467,307,72,621
23.580118922588394,307,71,622
23.655299477721638,307,70,623
23.683490389189334,307,69,624
23.753143817980465,306,70,624
23.84534120528583,306,69,625
23.87263757110796,306,68,626
23.876400557110905,306,67,627
23.924430023283232,306,66,628
24.088421564249867,305,67,628
24.193325855656234,305,66,629
24.236274019969372,305,65,630
24.269016455763854,304,66,630
