t,S,E,I,R
16.459425147967234,821,39,46,94
16.460578071804992,820,40,46,94
16.493168913610294,820,39,47,94
16.51296437931716,819,40,47,94
16.51338053862231,819,39,48,94
16.51961015590991,819,39,47,95
16.520534304705745,818,40,47,95
16.52427445210968,818,40,46,96
16.612697865210386,818,39,47,96
16.669864311798772,817,40,47,96
16.685572790878187,816,41,47,96
16.708034052587386,815,42,47,96
16.714343195047054,815,41,48,96
16.71621397959712,815,40,49,96
16.717907723106862,815,40,48,97
16.764845877649293,815,39,49,97
16.780551214029337,814,40,49,97
16.787702040817603,814,39,50,97
16.79811044496327,814,38,51,97
16.80524019164008,813,39,51,97
16.80875625304545,812,40,51,97
16.8213024017372,811,41,51,97
16.822228098889155,811,40,52,97
16.831438688494888,811,39,53,97
16.854741853385097,810,40,53,97
16.867417791230324,810,39,54,97
16.884776530568647,810,38,55,97
16.89998009414214,809,39,55,97
16.9365913309587,808,40,55,97
16.93850851429157,808,40,54,98
16.94361126425933,807,41,54,98
16.944727901110426,806,42,54,98
16.95687081445145,805,43,54,98
17.012149703579325,805,43,53,99
17.02901275840092,805,43,52,100
17.04282449988946,804,44,52,100
17.054637254191864,803,45,52,100
17.073762585499665,803,45,51,101
17.07404814324362,802,46,51,101
17.078787027083674,802,45,52,101
17.08211601955646,802,44,53,101
17.08543600679633,802,43,54,101
17.10289705219222,802,42,55,101
17.106428945732198,802,42,54,102
17.114273992653587,802,42,53,103
17.136242266371404,802,42,52,104
17.139502902267395,802,41,53,104
17.14585408871357,802,40,54,104
17.17005365861846,802,39,55,104
17.17969821995548,801,40,55,104
17.197656050769474,801,40,54,105
17.210989689671212,800,41,54,105
17.21829526576466,800,41,53,106
17.236518272602677,800,40,54,106
17.247001099606425,799,41,54,106
17.301705522951075,798,42,54,106
17.323278038495495,798,41,55,106
17.32568482900208,797,42,55,106
17.35294523162493,797,42,54,107
17.407361960417255,797,41,55,107
17.446110132396928,797,40,56,107
17.451341011849077,796,41,56,107
17.468977836452034,796,41,55,108
17.47670027393768,795,42,55,108
17.510186885442728,794,43,55,108
17.575649403072255,794,43,54,109
17.576223210288074,794,43,53,110
17.577374036222825,794,43,52,111
17.58450855571856,794,42,53,111
17.64267187737858,794,42,52,112
17.69769224733077,793,43,52,112
17.7084942681969,792,44,52,112
17.726358221716517,791,45,52,112
17.73373615343869,791,44,53,112
17.74431771379869,791,44,52,113
17.783262382477627,790,45,52,113
17.81227420089115,790,44,53,113
17.82736114694105,790,44,52,114
17.871880351999977,790,44,51,115
17.87341633047396,790,44,50,116
17.873513324100173,789,45,50,116
17.88157963285626,789,44,51,116
17.884897702104215,788,45,51,116
17.906869409785955,787,46,51,116
17.918518148190735,786,47,51,116
17.928176206728846,785,48,51,116
17.990673754524114,785,48,50,117
18.002336104612848,785,48,49,118
18.003295083827876,785,47,50,118
18.010263296410656,784,48,50,118
18.020386239756203,783,49,50,118
18.023186231045383,783,48,51,118
18.031709783666358,783,47,52,118
18.045982839301384,783,46,53,118
18.047338065413598,783,45,54,118
18.053863825603592,783,44,55,118
18.055370729864844,782,45,55,118
18.056403032108243,781,46,55,118
18.056532820506927,780,47,55,118
18.07006756212585,780,46,56,118
18.09705653592571,780,46,55,119
18.111052941066088,779,47,55,119
18.123337002896534,779,46,56,119
18.13679782333597,779,46,55,120
18.141195624108303,779,45,56,120
18.14523203225429,779,44,57,120
18.150815483882212,779,43,58,120
18.172154258645286,778,44,58,120
18.18739574771361,778,43,59,120
18.196434288656263,778,42,60,120
18.198739123264726,778,41,61,120
18.199032871329525,778,40,62,120
18.199166282025676,778,39,63,120
18.199417786141957,777,40,63,120
18.213246883027214,777,39,64,120
18.217435723434985,776,40,64,120
18.234402946784964,776,40,63,121
18.236578079281145,776,39,64,121
18.26799333344919,776,39,63,122
18.268631182967624,775,40,63,122
18.276949240275616,775,39,64,122
18.31691913937218,774,40,64,122
18.320781805006725,774,39,65,122
18.321914462545983,774,39,64,123
18.337844277305827,774,38,65,123
18.359303999355355,773,39,65,123
18.364221036814527,773,39,64,124
18.36600678102043,773,39,63,125
18.383199491062495,772,40,63,125
18.387855603538,772,40,62,126
18.38942134317412,771,41,62,126
18.38980036730444,770,42,62,126
18.42711778830753,769,43,62,126
18.429773014287473,768,44,62,126
18.429952707074705,768,43,63,126
18.444134348797217,768,42,64,126
18.444847337568305,768,41,65,126
18.463621447722016,767,42,65,126
18.470501747010573,767,41,66,126
18.519167479773692,766,42,66,126
18.535951347066447,766,42,65,127
18.564857421214345,765,43,65,127
18.578894358365257,764,44,65,127
18.590342482818016,763,45,65,127
18.6142376502672,763,44,66,127
18.663858530346268,763,44,65,128
18.678537952016526,762,45,65,128
18.684792997272773,762,45,64,129
18.693765585657978,762,44,65,129
18.69709738888363,762,43,66,129
18.72215828660492,761,44,66,129
18.727145987209774,760,45,66,129
18.734521137380874,760,45,65,130
18.819748461106883,760,44,66,130
18.81991271061678,760,43,67,130
18.821744169015037,759,44,67,130
18.856740831420378,758,45,67,130
18.859624731365162,757,46,67,130
18.87029143661166,757,45,68,130
18.87433526728578,756,46,68,130
18.905498505323855,755,47,68,130
18.936688554005293,754,48,68,130
18.93884157639947,754,47,69,130
18.944190317300308,753,48,69,130
18.963451176071903,752,49,69,130
18.982196136771126,752,48,70,130
18.990080075730695,751,49,70,130
19.026644719190955,751,49,69,131
19.027133851862235,750,50,69,131
19.03563621116523,750,49,70,131
19.0411981154712,749,50,70,131
19.05775946472536,748,51,70,131
19.060694225057844,748,51,69,132
19.067568492516237,748,51,68,133
19.077574186775912,748,50,69,133
19.085266770089582,748,49,70,133
19.096733248973386,748,48,71,133
19.113564939745356,748,47,72,133
19.11585497499247,748,46,73,133
19.117026416028345,748,46,72,134
19.145514546777598,748,45,73,134
19.195548256217048,747,46,73,134
19.201751875367364,747,46,72,135
19.211754212421233,747,45,73,135
19.25301827138558,747,45,72,136
19.274191523199505,746,46,72,136
19.288502965160752,746,45,73,136
19.294290975110947,745,46,73,136
19.31723483628295,745,45,74,136
19.329741710975632,745,44,75,136
19.339705366756686,744,45,75,136
19.433647267426668,744,44,76,136
19.44682512273133,744,43,77,136
19.474511019675578,743,44,77,136
19.480768028843826,743,43,78,136
19.505585858433818,742,44,78,136
19.50905157049972,741,45,78,136
19.51909586191732,740,46,78,136
19.520002551142245,740,45,79,136
19.53665858035138,740,45,78,137
19.547885393628043,739,46,78,137
19.549452879988177,739,46,77,138
19.55315345222633,738,47,77,138
19.563668684952194,738,46,78,138
19.58040461589381,737,47,78,138
19.587697059053323,736,48,78,138
19.59589765174462,735,49,78,138
19.596494298294388,734,50,78,138
19.61846229216607,734,49,79,138
19.635661003395057,733,50,79,138
19.640727168888674,732,51,79,138
19.64429000113055,732,50,80,138
19.660346213281,731,51,80,138
19.679425278261327,731,51,79,139
19.755677307616637,731,50,80,139
19.756853560333425,731,49,81,139
19.758079670346056,730,50,81,139
19.763343404269875,729,51,81,139
19.763911112940516,728,52,81,139
19.77451702009137,728,52,80,140
19.791633237348215,728,51,81,140
19.79623055751495,727,52,81,140
19.80410235336723,726,53,81,140
19.80488466094807,726,53,80,141
19.81135979251916,726,52,81,141
19.816342704079826,726,52,80,142
19.82744742948909,725,53,80,142
19.82948471915607,725,53,79,143
19.833014771188743,725,52,80,143
19.837087504582964,725,51,81,143
19.83780840833229,724,52,81,143
19.854230234725758,724,52,80,144
19.858571126834892,724,52,79,145
19.86150913954635,724,51,80,145
19.86156027942953,724,50,81,145
19.903136563622482,723,51,81,145
19.913384840579845,722,52,81,145
19.93320987830073,722,51,82,145
19.963332420388234,721,52,82,145
19.969551240046254,720,53,82,145
20.0407244876057,719,54,82,145
20.04189067910799,719,53,83,145
20.046417231982986,718,54,83,145
20.046761137222166,717,55,83,145
20.048705354223006,717,55,82,146
20.052970347718222,717,55,81,147
20.063851419535215,716,56,81,147
20.06574186231564,715,57,81,147
20.076224725887364,714,58,81,147
20.07888626677507,714,57,82,147
20.0884178509316,713,58,82,147
20.094280127198463,712,59,82,147
20.106997412323434,711,60,82,147
20.123069839645968,710,61,82,147
20.12873290535406,709,62,82,147
20.12888929203737,708,63,82,147
20.129936039498133,708,62,83,147
20.15452103486719,707,63,83,147
20.161024538947085,707,62,84,147
20.163736078190563,707,61,85,147
20.19013442565542,707,60,86,147
20.202486862547225,707,60,85,148
20.2071356262281,707,60,84,149
20.21669338756845,706,61,84,149
20.217323411289662,706,60,85,149
20.24174201412203,705,61,85,149
20.24229280685724,704,62,85,149
20.24419499068916,703,63,85,149
20.245415418589133,703,62,86,149
20.252473599878098,702,63,86,149
20.27030911615777,701,64,86,149
20.27224116636666,700,65,86,149
20.289320847851688,699,66,86,149
20.293724646789478,699,65,87,149
20.30423437687931,699,64,88,149
20.310836581101547,699,64,87,150
20.317549926262984,698,65,87,150
20.329425332463583,698,64,88,150
20.366998023958153,698,63,89,150
20.389599332372274,697,64,89,150
20.39077840841765,696,65,89,150
20.39881285656157,695,66,89,150
20.45242562699432,695,65,90,150
20.453081357626868,695,64,91,150
20.460225544433577,694,65,91,150
20.477344920610822,694,64,92,150
20.48377224076261,694,63,93,150
20.48957009806557,694,63,92,151
20.50808000814515,694,63,91,152
20.513750610332753,693,64,91,152
20.517698315445138,693,63,92,152
20.540263782973987,692,64,92,152
20.546433608018297,692,64,91,153
20.60681751345584,691,65,91,153
20.609379971621916,691,65,90,154
20.64813041408505,691,65,89,155
20.64963185878015,690,66,89,155
20.65248726894812,690,65,90,155
20.687589302564405,690,64,91,155
20.703879888725183,689,65,91,155
