t,S,I,R
6.761171250996747,610,244,146
6.769486521000766,610,243,147
6.769938385556491,609,244,147
6.774303170654282,608,245,147
6.779448304063319,608,244,148
6.788634674521617,607,245,148
6.791278846717969,607,244,149
6.796084416359998,607,243,150
6.809303059645697,606,244,150
6.819097784989585,606,243,151
6.832745783318142,606,242,152
6.834215574012798,606,241,153
6.83446156018165,606,240,154
6.835319634961303,605,241,154
6.8418028437116405,605,240,155
6.8442210851622605,604,241,155
6.846630380483663,603,242,155
6.858612914264538,603,241,156
6.867540864950588,602,242,156
6.8731653407464695,602,241,157
6.892984236217679,601,242,157
6.8997193305446824,601,241,158
6.907397637401253,600,242,158
6.915990543976367,599,243,158
6.919194725827419,599,242,159
6.920158218075567,599,241,160
6.938221973612056,598,242,160
6.938899535916567,598,241,161
6.940830751000319,598,240,162
6.949284840847676,598,239,163
6.95760363852331,597,240,163
6.96573630679012,596,241,163
6.969396754987271,595,242,163
6.977608172190385,594,243,163
6.982251224390479,593,244,163
6.9823728869457025,592,245,163
6.986549969607694,591,246,163
6.9921133644193745,591,245,164
6.993284910110792,590,246,164
6.995842181918508,590,245,165
6.996978884439939,589,246,165
7.004629558791857,589,245,166
7.008492108422871,588,246,166
7.013851829357396,587,247,166
7.015987564662171,586,248,166
7.02729226997807,585,249,166
7.031307782063427,584,250,166
7.041973280090791,583,251,166
7.04420162769091,582,252,166
7.04753300861597,581,253,166
7.053276925773516,580,254,166
7.053367237832118,580,253,167
7.072777110369735,580,252,168
7.084090198525001,580,251,169
7.0896084362256655,579,252,169
7.093442238750508,578,253,169
7.104254531329849,578,252,170
7.1047393955537075,577,253,170
7.105327206634784,576,254,170
7.114707297517247,575,255,170
7.120398091195787,574,256,170
7.127182116848692,573,257,170
7.129471781113439,572,258,170
7.133449569144371,572,257,171
7.142906322310699,571,258,171
7.142967170965763,570,259,171
7.1444848307192945,569,260,171
7.145414540898867,569,259,172
7.147881670106122,569,258,173
7.158569388515688,569,257,174
7.166652979983317,569,256,175
